id,description,uuid
1,'teaspoon',5804c120-43c5-4627-a808-01a6cb5ebbeb
2,'tablespoon',fe039e8e-cb9a-4b71-b52e-ca05596dda20
3,'cup',1c7893cb-19a4-4253-90bf-8fa4efdff669
4,'pint',e8b16338-19dc-4c7a-afee-12fdbefded4b
5,'quart',419eb0f6-5846-4ef4-adef-24c9ac1291a2
6,'gallon',27f76825-b921-4d5b-bd7e-b4e05665ae63
7,'milliliter',1adbb935-c116-4712-97c9-cb830c95ee33
8,'liter',54a4fbb1-cc8a-4686-8e4a-b4c371a3f1e7
9,'deciliter',68cd5d5f-d369-464e-b0f6-945de5197e69
10,'fluid ounce',9831a5a3-4284-4112-bcde-c478f81f6185
11,'ounce',9a37f351-c84f-404a-83cf-8254ca031874
12,'pound',c752b40a-f68b-4f7e-b7b8-26dda2494b1d
13,'gram',a736bf0e-e8a4-4605-a173-c710bfa0a4e4
14,'kilogram',e0b04679-da06-4ff0-b8f4-c79964700b0f
15,'milligram',f185b324-5871-4ca9-a45d-b90f4bb7c867
16,'centimeter',9763afcc-3c16-4e92-a172-28dd26c1e555
17,'meter',771280ac-2b4d-4bf1-99eb-4df945a90ce4
18,'inch',ef519ac6-9dd5-4805-b5df-dc99ef179c76
19,'foot',0fd704fe-6fe6-4b17-99c1-f85badedc59b
20,'slice',fe38d325-b2e2-403f-9656-7c977286766c
21,'pinch',91a4bc6f-53b0-4263-b984-1a757eb720bd
22,'dash',2e2f14cd-0600-40b1-b767-e4dd809cb49d
23,'clove',2fb77aea-32a9-4fcc-b9b8-406b98decbe3
24,'stick',d4b3cec7-72bc-4cfd-9b09-f8e3f66f85b1
25,'head',03f0bae7-bb4b-40d1-9f91-e18869aa6b36
26,'bunch',b8daf91b-99ac-41f1-9174-2647d7445d3d
27,'piece',45b7874e-8aea-475c-9fd9-a05578504c7d
28,'sprig',5f440eb7-b8d4-4020-ab08-b51adcdb2020
29,'beet',24f0f1c2-d108-4b18-a594-c78d151cd225
